timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1613909476529,38682,,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Http URL/API Test 1-9,text,false,,2915,0,17,17,https://host4:8443/api/transactions/47547,8389,0,2671
1613909494008,21204,Keycloak call to get token - PROD,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Http URL/API Test 1-28,text,false,,3827,0,15,15,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,0,0,11792
1613909497997,17215,,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Http URL/API Test 1-10,text,false,,4460,0,16,16,https://host4:8443/api/transactions/,0,0,17215
1613909453070,62143,Get transaction data - PROD,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Http URL/API Test 1-20,text,false,,2915,0,12,12,https://host4:8443/api/transactions/47448,8094,0,0
1613909503007,12207,Keycloak call to get token - PROD,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Http URL/API Test 1-29,text,false,,4360,0,13,13,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,0,0,12207
1613909505674,9541,,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Http URL/API Test 1-11,text,false,,4360,0,9,9,https://host4:8443/api/transactions/,0,0,9541
1613909489937,25279,Add transaction data - PROD,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Http URL/API Test 1-26,text,false,,3692,0,9,9,https://host4:8443/api/transactions/,0,0,4240
1613909486917,28300,Add transaction data - PROD,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Http URL/API Test 1-24,text,false,,3692,0,6,6,https://host4:8443/api/transactions/,0,0,8147
1613909485006,30212,Keycloak call to get token - PROD,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Http URL/API Test 1-27,text,false,,3827,0,4,4,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,0,0,3920
1613909467566,47653,,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Http URL/API Test 1-3,text,false,,2915,0,5,5,https://host4:8443/api/transactions/47546,19578,0,0
1613909484975,30245,,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Socket closed,Http URL/API Test 1-18,text,false,,3010,0,1,1,https://host4:8443/api/transactions/47548,8698,0,2434
