timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1613893867835,10828,,201,Created,Http URL/API Test 1-166,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,10828,0,4284
1613893874027,4750,,200,OK,Http URL/API Test 1-47,text,true,,7079,1588,198,198,https://host4:8443/api/transactions/,4750,0,3926
1613893872184,6621,,200,OK,Http URL/API Test 1-94,text,true,,7079,1588,198,198,https://host4:8443/api/transactions/,6621,0,5009
1613893868468,10878,,201,Created,Http URL/API Test 1-50,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,10878,0,0
1613893876085,3294,,401,Unauthorized,Http URL/API Test 1-73,,false,,1239,137966,198,198,https://host4:8443/api/transactions/,3294,0,0
1613893867035,12349,,201,Created,Http URL/API Test 1-74,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,12349,0,0
1613893874989,4396,,401,Unauthorized,Http URL/API Test 1-65,,false,,1239,187,198,198,https://host4:8443/api/transactions/,4396,0,3284
1613893870738,8658,,200,OK,Http URL/API Test 1-126,text,true,,139006,1592,198,198,https://host4:8443/api/transactions/4815,2879,0,0
1613893867438,11963,,201,Created,Http URL/API Test 1-161,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,11963,0,4691
1613893874992,4411,,200,OK,Http URL/API Test 1-160,text,true,,7073,1588,198,198,https://host4:8443/api/transactions/,4411,0,3281
1613893874652,4752,,401,Unauthorized,Http URL/API Test 1-71,,false,,1239,187,198,198,https://host4:8443/api/transactions/,4752,0,3621
1613893866816,12603,,201,Created,Http URL/API Test 1-141,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,12603,0,0
1613893867060,12374,,201,Created,Http URL/API Test 1-27,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,12374,0,0
1613893874737,4745,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-197,text,true,,2871,391,198,198,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,4745,0,3536
1613893842978,36503,,201,Created,Http URL/API Test 1-87,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,36503,0,4742
1613893867957,11526,Add transaction data - PROD,201,Created,Http URL/API Test 1-191,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,11526,0,4213
1613893865202,14298,Add transaction data - PROD,201,Created,Http URL/API Test 1-189,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,14298,0,6735
1613893869919,9582,Add transaction data - PROD,201,Created,Http URL/API Test 1-192,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,9582,0,3899
1613893870685,8816,,201,Created,Http URL/API Test 1-122,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,8816,0,3379
1613893845419,34088,,200,OK,Http URL/API Test 1-153,text,true,,138990,1592,198,198,https://host4:8443/api/transactions/4129,3536,0,0
1613893867777,11740,Get transaction data - PROD,200,OK,Http URL/API Test 1-185,text,true,,138967,1592,198,198,https://host4:8443/api/transactions/4808,6032,0,0
1613893870018,9505,,200,OK,Http URL/API Test 1-171,text,true,,138966,1592,198,198,https://host4:8443/api/transactions/4619,7074,0,3809
1613893868736,10817,,200,OK,Http URL/API Test 1-149,text,true,,138967,1592,198,198,https://host4:8443/api/transactions/4567,5337,0,0
1613893875626,3928,,401,Unauthorized,Http URL/API Test 1-62,,false,,1239,137966,198,198,https://host4:8443/api/transactions/,3928,0,0
1613893870821,8737,,201,Created,Http URL/API Test 1-36,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,8737,0,0
1613893868736,10823,,201,Created,Http URL/API Test 1-42,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,10823,0,0
1613893867958,11602,,201,Created,Http URL/API Test 1-40,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,11602,0,0
1613893867552,12008,,201,Created,Http URL/API Test 1-159,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,12008,0,0
1613893875371,4190,,201,Created,Http URL/API Test 1-96,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,4190,0,0
1613893865739,13822,,201,Created,Http URL/API Test 1-35,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,13822,0,0
1613893864081,15480,,201,Created,Http URL/API Test 1-81,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,15480,0,0
1613893868836,10909,,201,Created,Http URL/API Test 1-140,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,10909,0,0
1613893864076,15675,,201,Created,Http URL/API Test 1-83,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,15675,0,0
1613893864302,15449,,201,Created,Http URL/API Test 1-146,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,15449,0,0
1613893875999,3852,,200,OK,Http URL/API Test 1-101,text,true,,7079,1588,198,198,https://host4:8443/api/transactions/,3852,0,3089
1613893868984,11119,,201,Created,Http URL/API Test 1-8,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,11119,0,3988
1613893878475,1756,,401,Unauthorized,Http URL/API Test 1-70,,false,,1239,137966,198,198,https://host4:8443/api/transactions/,1756,0,0
1613893865141,15156,,201,Created,Http URL/API Test 1-24,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,15156,0,0
1613893862884,17429,,200,OK,Http URL/API Test 1-137,text,true,,138951,1592,198,198,https://host4:8443/api/transactions/4802,11182,0,962
1613893877047,3268,,200,OK,Http URL/API Test 1-16,text,true,,7079,1588,198,198,https://host4:8443/api/transactions/,3268,0,2506
1613893869369,11072,,200,OK,Http URL/API Test 1-32,text,true,,139029,1592,198,198,https://host4:8443/api/transactions/4616,8797,0,6560
1613893850236,30223,,200,OK,Http URL/API Test 1-154,text,true,,138990,1592,198,198,https://host4:8443/api/transactions/4553,12323,0,0
1613893867438,13023,,201,Created,Http URL/API Test 1-127,text,true,,1565,139367,198,198,https://host4:8443/api/transactions/,13023,0,4547
1613893877688,2986,,401,Unauthorized,Http URL/API Test 1-58,,false,,1239,137966,198,198,https://host4:8443/api/transactions/,2986,0,0
1613893877675,2999,,401,Unauthorized,Http URL/API Test 1-130,,false,,1239,137966,198,198,https://host4:8443/api/transactions/,2999,0,0
1613893874994,5681,,200,OK,Http URL/API Test 1-91,text,true,,139039,1592,198,198,https://host4:8443/api/transactions/4819,2628,0,0
1613893865187,15628,,200,OK,Http URL/API Test 1-5,text,true,,138959,1592,199,199,https://host4:8443/api/transactions/4805,12006,0,0
1613893877736,3222,Keycloak call to get token - PROD,200,OK,Http URL/API Test 1-198,text,true,,2871,391,199,199,https://keycloak:9443/auth/realms/banking/protocol/openid-connect/token,3222,0,2578
